,0
84cdbfa05f20c947b440877200801b3e,21504.0
6d9f4ae5b3bed6b737e955e224b8ccfe,13218.0
c7840a5cd9d5b7ea609d0ee38ce689ad,1543.0
4f987907a31c9416aeee9a298bf4e20f,1381.0
e6ab4a3761f57836cf95fe25c3b2b64b,1030.0
ddddb71944a63e92e3e7f3a0721c0647,976.0
d75f8c1ddd3840bd2f5f0522d97fd7dc,808.0
644379d3fa39ef6629a8c32853142d38,753.0
e1d2f48e7b3279fc2957f80a002df9c0,645.0
4ea60622587709faf34195ae9fa4f3e4,430.0
c43e07cb1bdfaa9bac4226cbe55724e4,428.0
66e57d35ddb8f15f6436ac1620dbccc5,416.0
bb9c4de392be2909f10927ef1a9a7777,387.0
f33ec77731659d8c99f29a2b9e87193c,362.0
4507a494ba06d465477040a380f49f4d,329.0
b74bb345653717293f431d8e568a004e,314.0
b6742ab9070068bcfd5fbc1e8f1729d9,314.0
607f4a250b29362649396940575b206f,301.0
e33459d99e71521c9757b155c91c6f2d,252.0
815dafc7885db4563b93ddd63d3e7c53,238.0
4faae7d835f72763dd94ac5547366527,227.0
f65f9ef5c9c257b448094316b1606f95,220.0
fe20733351ad1e4869dfe903fb20e0c4,218.0
3aaf8668e68e1f0b8beb345ee1a5741c,213.0
eb8df3b680895020b08c9bece40db33b,203.0
ac254bf0c3ea1622894ff23abde650d3,198.0
66c425ca2792fab7a6196b0121dd1dd7,190.0
0bbaadc2dfb217568f41d1a8f04d1b5a,190.0
88e66bf6f2d8d5628dc3982beae92932,184.0
97d28ddc1e91e5f240b4fd386233a1ae,155.0
e80d5891740bd3b8624847da20cbfc8c,147.0
945c3faa0ba40985b0699004fbb162bf,136.0
bca5ca5ee5b78bc4059f1ffa67e9a218,105.0
9322086793ba81e565031c13a3192b7d,102.0
a35d9c7486ca2d85be35c5cb0629339b,94.0
724522adf4dca20fa58ff3b043bc00c0,89.0
a88b375fe384f6c329d8158c997c3bf4,87.0
27dca03461085a639bccdeb75cda096f,84.0
e66fbc03424bfff0f8bafd0399d1dcff,75.0
f3a097c4c809b3cef7649aafca4a9ed5,75.0
9a0bfad14d4a8f776c924539c94e1cbb,72.0
1740ad18ba6b55ecbaac3eb8e5af4d3b,67.0
c2930350d929de397a29bbdca5390ddc,67.0
06d27304e91c4ed58cc9b061ea06eb4b,63.0
1ededf4624a056f89377e6ae3366c519,63.0
ef4971ceb8f40379912223921d5ef387,61.0
d133665e73c090ed87b56a7b9df57971,58.0
b55464257fb00e3d47281e7204116e5d,52.0
fcb49d4039ff7dacf85163e42ad82146,51.0
c1f0985c207add3498fc680012713b0a,51.0
4862c0f789fdd36f565d1a49b4a368e1,48.0
3da2c8fbc51baf3d9f376841a4048fa3,46.0
1b1d75afd4c2e1f2cdd88e6d54500675,41.0
5a369dda0b2d59d1cc13534d30070924,40.0
a0340f813cbe20ee983a4843c67e3fba,39.0
a31bb2af59d26a62b646626a77500df8,39.0
a9744ee5df48f3d09fb4f01e11406f96,38.0
8a3d3c57b460fa82c4bf8d0f6fbef79a,37.0
0e0a800f012d76d2c6d5653991d54da6,36.0
7271a638eb8e98e993a8a84a1b5d4bc7,34.0
1c8c5745e05a0489d4c590845f2b99e9,33.0
ae2bc446b841b25e01dd9d7b985679b0,33.0
7ea34b18f1a610071f4fce3693e4c429,32.0
fb456a862263228bb90f9f26479f4653,31.0
8408377be8eb7d624c7699be466cb1b6,30.0
dc56dfbc23377b0851823f941b05ff63,29.0
3ee88f626738bc70f025cc388173067c,29.0
b3ee379b82cba405f9ef3cfb001b0442,27.0
4bad3876a33484902a42698dfdf3df20,26.0
cf1a1c8d6d5e55710ff7262f1d7af14b,25.0
19f1f1287ce6f3c929b6af4ddcbe962a,25.0
0adb5120865677bd9d43756d676cf4d5,25.0
9a0690d4904323f21ed80ba92415e6b6,24.0
aa5f6199da9c3d1ba4efbe6c6d8a83a5,23.0
a7cd5451666190c2a1fce3cb304cbb9a,22.0
b33860def634efa0a1d3530e169a8f65,21.0
d6eca760ef674e888d1f75e9fa70a12d,20.0
1cffdc5497bce1c3c4ca2bbcb77134fd,19.0
4fe26ba17dd3be408c3aae7069388ace,19.0
b26955ca5c6f24a63299c935892a9568,17.0
8b6729aecafc81b82634f8e204b40f47,17.0
8a4da309d5ca44f21c5ca70b6b099796,17.0
1d4fbcdb85d59af9ede393fcbc401adc,16.0
2a89be927d8b7585d49a41d67f5726cf,15.0
28ec6aa7ebeeaedbf6829b31da5abeb0,15.0
5c13d56f98f1dba5aac72a24be5373c4,14.0
2a862a054e23a7ebd933c87fb1b3059b,14.0
cbc44ebcda6f5db858afe28226c9eb7e,14.0
b190558e51d1fd8c7bba9c2b1b2b130e,14.0
aacc73d5711436b0c09597411e25c597,13.0
394666bfb6cf394bbff5e642322a0d89,13.0
723cbe99b0a54d925c8aae3a6757efe3,13.0
0865156f0cfb984679a90c992904a6e6,13.0
b990f2d39f5914d4fb34633220e688b3,13.0
fb1860b883c86fc6dba1011449cbfebb,13.0
f30036f634e0b183d7f8fefe966b0185,12.0
1aac3e7c560fd47e9ddb38aef56c0397,12.0
f8da992ec65d97ba663f048942896c9c,11.0
a18779ec6250ec74802a5a2ef39bd3a3,11.0
3900f1912bccdd56fff801d610bcb334,11.0
950fd745148e24f30fe64ceb30e270d8,11.0
ce2b2e17f63211beb787482b5d0c4d5f,11.0
383ba52b299ec619e259849ed2f0b96d,11.0
6ee7675b37662719c6d3ed53fddf59cd,10.0
8fe778024cc808c9305ee18b80180a9c,10.0
83687298198562625629e13c72e4b79e,10.0
927b0522699401013e4da8454de59db3,10.0
d3ced7891492bbfbf24a412a0f53ffd0,9.0
f088805e58bec6a04a71fa34abfc370a,9.0
3ba762d028dadcd287ade39e1cc2621f,9.0
50ade24fc9939e57a904210304fa9aa1,9.0
d538144e65a1e48e8c49a19cff791aa2,9.0
cad544badc714a49aba81f3661569314,8.0
083754ba0060fbc6ae8906ca799bedf7,8.0
877688ba4dc684c0e0fe7c9483f5a3a9,8.0
42e9103a1669373237d78d5c5030bcbd,7.0
f9d1a6d2b331d02d2bd28192554c7115,7.0
f9c5ac7f4cb462efa1ae41b69ffe6f3a,7.0
541a74aa3866d7337e3d3376d1f22d06,7.0
5b3d4a96379e3013c977fda863796f6c,7.0
652a061134ac429baa03dee1226b3364,7.0
99d463ba5ca003cfa728a0825eb427cd,6.0
adee656bfbe455933634f57290e353b9,6.0
46a1d484d99f7da9eca0a46f88ef9729,6.0
5e1ba5f33fc018199fb74c826778cef6,6.0
63b867b2fed88576ee7cf1500153574f,6.0
757f07daaef9faf7ff73fc73c1597d1b,6.0
2a5c5bfac8c11a81da607f6b080a7cb8,6.0
c8115adf1f7cfaadd589de4ecd965810,6.0
9f07728e72bd9e186b0a146ac163e71c,6.0
283e2822b4180dad49ff91d03626ecb9,6.0
9933cfe9d66eadcdcd9529c80795abfa,6.0
9b8fe2c790ecd494d82d2c497e72b17a,6.0
9f06d04c72a2b33a24f34d438e17e9a1,5.0
38520a025a5039d92cbf8e57a6091264,5.0
983efbbede4c0997351f2f82f894def7,5.0
0b534e1b60a3087632eb56f072e39825,5.0
0b5443b5f8665eb1c6a8b6105645dbbc,5.0
572a3ee5bc30bc252ce254253ef8fa83,5.0
9797c03b4f5bf58fd1a7549ef7e8a25c,5.0
a630840d57af87e4816f8299359c75e8,5.0
12d533102fcbe9e307c91484bbdb87c2,5.0
13fa40e5ca9b1d58d510db2987179ba0,5.0
c21c5872fbd8c0a0db7880c430b6ca80,5.0
f9b01aca7b2261af35ceffba95cc776d,5.0
3e8e4cff37f0f38724cce0e6157a0629,5.0
282d6601a1ee6a5ab155b7301dfbd355,5.0
ae46e91c2bbfbb9bbb78d1cb38cf7ab6,5.0
46e9ebcf8b1813e02e98ad43efe45c1f,4.0
f8f942dda7180285e0923a23dea052b6,4.0
cfc4079c8da0599562b4f6b32197c56b,4.0
32b01c7b69d6e0869e579aba644ceffa,4.0
828603a0b3861521007c79d0803b470a,4.0
31b8292fd0f917d751afc86c90bc2aad,4.0
5bee41267a88ac36c52e9325bcbd0e79,4.0
7506386beef19ea67fef34fb5cfaa857,4.0
697d3e7098809f5f4b3e8cc62fd3be66,4.0
93cbd1dd6726b88c63c42e61a864f206,4.0
ec5ce0f01d0c2a704f7813bbcc64b78b,4.0
38cc3dcf9093bd06291cb104a1f5c88f,4.0
3362db12784a46c3915aea3a9830593c,4.0
3995c61560c8cc91448970827ce97af9,4.0
8c75bb8abb35fd68403924d563b5bbbe,4.0
0bfbef2da60cb75986f7f727e0670ecf,3.0
10a2ca2f9cb4ca4557c9b517d0c62bb2,3.0
af4c0ca146f544473db6d2c458a0b96b,3.0
ec8e0be8e10b77b945fe3b7798fa9caa,3.0
1006cbfd902501485c8b05eacd44a48a,3.0
698768e8656ea89be6f9a2fdf7942d35,3.0
279a26a5197d81b7bb466da9a98fb02f,3.0
db795c01568942b18f3114046e96c736,3.0
ccd0e43bd120ae8ac197291009591d61,3.0
a6be2ab915d325f84a0b34291f154173,3.0
091501285b046b5a5b1f3373a238d59e,3.0
c43e26bebe9c0ae6013c1a1b8e01cfe7,3.0
c398bb9084b1b2a3f36e5cbbdc099be4,3.0
66b69a76c89f330359c2f84756e3ff7a,3.0
b6a813334e68851094535a59e1f36af9,3.0
2aa0bccd8fb8cb1318c85ee9b82e942b,3.0
78f9c3fd86330cfa963a112847992bb7,3.0
4194843b96d24f91791396645080d44a,2.0
fabf7a9674d3251940b6fefa3e5d7e22,2.0
91a5aaa051903bb83e12dec158e5347f,2.0
4b0e3289b7cacbeabe0daa7d55f4b29e,2.0
dc70f438001bb3cd92c161e234ef3bb4,2.0
10bb2ddb9a91d76b6f609c098fda1c06,2.0
5b9b6a3adda90bf6c0e8d1ec1da164ca,2.0
23233433414e7b672441c0b7b91730ed,2.0
2f8abf069d5ffc1570234da7836599be,2.0
2eb12a59088cbae76a0956b34503fbe5,2.0
b570e633a4221e2319b8af4c6018ec60,2.0
7a7f600f474fa17d4a043442328aa8cc,2.0
082d12f5bbcd3b7d9f6b0351f4cf5d49,2.0
5e2e677897a97ecb45bfc6c721a994a6,2.0
1c987560ebdee8226fb6d6299b53054e,1.0
